City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
239,Phalombe,-15.8064,35.6507,66.51,overcast clouds,97,91,2.19,MW,2022-02-13 01:48:21
240,Cherskiy,68.75,161.3,-16.53,overcast clouds,96,100,10.27,RU,2022-02-13 01:48:21
241,Verkh-Usugli,52.7,115.1667,-8.18,overcast clouds,89,99,1.97,RU,2022-02-13 01:48:21
242,Hamilton,39.1834,-84.5333,28.08,overcast clouds,77,100,9.22,US,2022-02-13 01:43:25
243,Birao,10.2849,22.7882,68.54,overcast clouds,11,100,9.19,CF,2022-02-13 01:48:22
244,Faya,18.3851,42.4509,51.91,clear sky,64,6,6.55,SA,2022-02-13 01:48:23
245,Batagay,67.6333,134.6333,-19.97,overcast clouds,90,98,2.1,RU,2022-02-13 01:48:23
246,Lucapa,-8.4192,20.7447,64.17,overcast clouds,93,100,1.99,AO,2022-02-13 01:48:24
247,Shimoda,34.6667,138.95,46.76,overcast clouds,90,100,7.02,JP,2022-02-13 01:48:25
248,Samfya,-11.3649,29.5565,62.96,light rain,95,96,3.69,ZM,2022-02-13 01:48:26
249,Elmadag,39.9208,33.2308,34.45,overcast clouds,82,100,4.99,TR,2022-02-13 01:48:26
250,Mount Isa,-20.7333,139.5,92.97,scattered clouds,38,40,8.05,AU,2022-02-13 01:45:00
251,Shingu,33.7333,135.9833,47.39,overcast clouds,64,100,4.94,JP,2022-02-13 01:48:27
252,Arraial Do Cabo,-22.9661,-42.0278,74.93,scattered clouds,84,29,4.45,BR,2022-02-13 01:48:27
253,Xai-Xai,-25.0519,33.6442,70.93,few clouds,88,21,0.83,MZ,2022-02-13 01:48:28
254,Manggar,-2.8833,108.2667,79.65,overcast clouds,84,100,3.94,ID,2022-02-13 01:48:28
255,Souillac,-20.5167,57.5167,79.18,light rain,94,75,8.05,MU,2022-02-13 01:48:30
256,Matagami,49.7502,-77.6328,-25.49,clear sky,75,0,4.61,CA,2022-02-13 01:48:30
257,Taltal,-25.4,-70.4833,68.14,clear sky,80,7,3.76,CL,2022-02-13 01:45:18
